HOV,,385400
HP,1.22,203400
HPC,,296400
HPCPRA,,
HPF,8.68,48200
HPG,8.89,13800
HPI,8.65,57200
HPQ,2.01,13483900
HPT,9.90,424000
HPTPRA,,
HPTPRB,,
HQH,2.34,46800
HQL,2.25,18200
HR,9.51,217300
HRB,1.76,1569200
HRC,,
HRH,1.09,327400
HRL,1.89,286700
HRP,8.90,286400
HRPPRA,,
HRPPRB,,
HRPRA,,
HRS,1.17,425300
HSC,3.21,161400
HSF,8.05,12800
HSM,8.91,16500
HSP,,404800
HSY,2.03,364900
HTG,8.27,59400
HTO,5.10,49000
HTR,9.05,37700
HTRRTWI,,
HTV,,153800
HU,3.57,135100
HUBA,,
HUBB,,
HUF,,10400
HUG,1.52,549900
HUM,,1470400
HVT,2.03,26700
HVTA,,
HWK,,2600
HXL,,2900
HYB,9.29,88400
HYC,,55900
HYF,11.93,144000
HYI,8.90,20400
HYN,,4300
HYP,10.34,26900
HYV,11.34,61700
HYW,11.53,40600
HZO,,3300
IAL,6.27,3900
IAS,,
IBC,2.80,296100
IBM,0.75,13617600
ICB,6.13,14700
ICN,3.83,374700
ICS,4.99,11200
IDA,7.90,135800
IDC,,69500
IDE,,9100
IDG,,18300
IDT,,94400
IDT.B,,0
IEM,,500
IES,,64800
IEU,7.87,400
IEX,1.90,198400
IFC,1.40,82800
IFCPRM,,
IFCPRN,,
IFCPRO,,
IFCPRP,,
IFF,1.87,242500
IFN,0.86,175200
IFS,,51000
IGF,,6700
IGI,,135400
IGL,0.84,942900
IGT,,1197300
IHI,,13400
IHP,4.15,98100
IHR,,6800
IIC,6.22,3600
IIF,0.29,24600
IIM,6.15,29400
IIS,5.57,5000
IJD,8.33,15200
IKJ,6.18,26900
IKN,2.06,971300
ILA,,3622200
ILD,12.15,43200
IM,,416900
IMB,6.04,20000
IMC,,86300
IMJ,7.98,1300
IMK,7.58,16000
IMN,,166200
IMR,,12300
IMS,4.84,11400
IMT,6.06,26900
IN,,238600
INT,1.50,12800
INV,,19900
IO,,105300
IOM,,134900
ION,,63400
IP,2.95,2987000
IPG,3.80,7207200
