DD,3.30,2722800
DDE,2.13,12200
DDF,10.64,7100
DDPRA,,
DDPRB,,
DDR,7.09,135300
DDRPRC,,
DDRPRD,,
DDRPRF,,
DDS,0.94,468900
DDT,10.31,8700
DE,1.96,663400
DEL,0.94,19400
DF,,1251300
DFG,0.85,31800
DFS,,12800
DFT,9.29,600
DG,1.06,677300
DGF,10.33,3800
DGX,,758800
DHF,17.55,274700
DHI,1.19,1335500
DHM,8.74,4700
DHR,0.15,1015900
DHY,13.13,89900
DIS,1.16,6628200
DIV,7.44,11900
DJ,2.32,571100
DJO,,5900
DJT,,73100
DKA,3.77,500
DKC,4.07,200
DKE,13.32,119700
DKS,,66000
DL,0.80,305100
DLM,,2359000
DLP,1.02,167600
DLW,,7200
DLX,3.66,390600
DMGPRA,,
DMN,4.03,41100
DNA,,3670900
DNB,,217100
DNP,7.41,218500
DNR,,375200
DNY,4.30,200500
DO,2.26,673900
DOL,1.83,134000
DOM,10.18,30200
DOV,1.80,467100
DOW,4.30,2540000
DP,0.69,114700
DPH,3.17,1529400
DPL,6.00,230200
DPRA,,
DPRU,,
DQC,6.06,8400
DQE,6.45,225200
DQPRA,,
DQUPRA,,
DQUPRB,,
DQUPRC,,
DQUPRD,,
DQUPRE,,
DQUPRG,,
DQZ,7.38,2500
DRD,,288500
DRE,7.37,304600
DREPRD,,
DREPRE,,
DREPRI,,
DRF,,2900
DRI,0.36,544800
DRL,1.50,166100
DRQ,,19400
DRS,,141600
DSL,0.89,273600
DSM,7.18,73800
DSS,,423200
DST,,294900
DSU,17.84,347000
DSW,6.83,5000
DTA,7.48,3400
DTB,7.45,1000
DTE,4.52,517300
DTEPRA,,
DTEPRB,,
DTF,6.20,4900
DTG,,155000
DTH,7.28,5200
DUC,7.54,19100
DUK,6.08,4630200
DUKPRA,,
DUKPRQ,,
DUKPRT,,
DUKPRU,,
DUKPRV,,
DUKPRW,,
DUR,12.94,96000
DUT,6.42,15100
DV,,389700
DVA,,1019000
DVD,1.03,12900
DVI,,10100
DXB,7.71,20000
DY,,268900
DYN,11.45,19920200
EAC,,18900
EAIPRA,,
EAS,4.50,331100
EAT,,391300
EBF,5.21,17300
EC,1.78,429200
ECL,1.16,309600
ECT,7.72,22200
ED,5.37,950300
EDE,6.70,38400
EDEPRD,,
EDF,13.07,35400
EDL,7.73,2000
EDO,0.60,51800
EDPRA,,
EDPRC,,
EDS,3.00,5416200
EDSPRI,,
EDV,6.90,32300
EE,,75400
EEP,8.54,79200
EEQ,2.39,19200
EF,12.03,14200
EFL,9.95,6100
EFX,0.35,399400
EGN,2.45,96100
EGP,7.58,17300
EGPPRA,,
EGSPRA,,
EHA,6.30,10300
EHB,1.27,31200
EHL,7.28,6600
EIX,,758800
EIXPRA,,
EIXPRB,,
EK,4.64,2422300
EL,0.76,1225500
ELK,1.23,590800
ELX,,4634300
ELY,2.27,920800
EMC,,23072700
EMD,11.70,7500
EME,,146200
EMF,1.70,21900
EMN,4.73,253700
EMO,7.65,500
EMQ,1.59,20100
EMR,3.09,1037400
ENC,,11100
ENN,8.89,51400
ENNPRA,,
ENP,,
ENR,,574300
ENSPRF,,
ENZ,,81600
EOG,0.40,689700
EOP,8.25,1273100
EOPPRB,,
EOPPRC,,
EOPPRE,,
EOPPRF,,
EOPPRG,,
EP,8.90,10905800
EPB,6.75,21200
EPD,7.36,446600
EPI,6.87,11000
EPL,,34100
EPN,8.78,94100
EPPRA,,
EPPRC,,
EPR,8.11,43800
EPRPRA,,
EQR,7.05,1289700
EQRPRB,,
EQRPRC,,
EQRPRD,,
EQRPRE,,
EQRPRG,,
EQRPRH,,
EQRPRL,,
EQS,,1100
EQT,1.86,152800
EQY,8.21,88300
ERE,7.26,4300
ESA,,208500
ESE,,18100
ESI,,237600
ESL,,86600
ESS,6.04,209700
ESV,0.36,1796100
ET,,3306600
ETF,,7800
ETH,0.72,424400
ETM,,229800
ETN,2.34,423100
ETR,2.91,888100
ETR,2.91,888100
ETS,,1659200
ETT,,29400
EV,1.07,227900
EVC,,278900
EVF,6.53,59800
EVG,,129100
EVN,7.76,25200
EW,,246100
EWF,1.20,22600
EXC,3.24,901900
EY,,6700
EYE,,120400
F,3.84,8473200
FA,,20300
FAF,1.71,225600
FB,14.49,314200
FBAPRT,,
FBC,1.75,269900
FBCPRO,,
FBCPRP,,
FBF,5.10,3123100
FBFPRJ,,
FBFPRK,,
FBFPRL,,
FBFPRM,,
FBN,,390100
FBR,,219600
FC,,53100
FCEA,,
FCEB,,
FCF,4.98,36700
FCH,5.31,250000
FCHPRA,,
FCHPRB,,
FCJ,7.58,24300
FCN,,235500
FCO,6.90,16900
FCP,3.74,500
FCS,,2201200
FCX,,2454300
FCXPRA,,
FCXPRB,,
FCXPRC,,
FCXPRD,,
FCZ,7.46,52400
FD,,2198700
FDC,0.22,2243800
FDO,0.94,690900
FDS,0.70,309900
FDX,0.36,1120600
FE,4.58,960500
FED,,61600
FF,1.18,16200
FFG,2.05,9200
FGP,9.77,34200
FIC,0.18,246300
FIF,,102400
FIGPRA,,
FIGPRB,,
FII,0.89,364300
FIX,,16200
FJC,3.75,78700
FJCPRA,,
FLA,0.39,19200
FLAB,,
FLE,1.96,419100
FLM,1.79,790500
